slug,name,doc_page,store_visibility,inventory_decision,method_key,method_label,purpose,transport,auth,ownership_modes,selectable_without_extra_gate,availability_gate,capability_group,risk_tier,declared_resource_filters,resource_filter_enforced_by_paperclip,provider_side_scope_control,setup_prerequisite,evidence_state,source
coda,Coda,,"recognized, withheld from Browse",NO PAGE - withheld from Browse; existing connections keep working,mcp-api-key,Use an API key,tool,mcp_remote,api_key,customer,yes,none beyond a provider account,,S3,,n/a,permissions of the issued token,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/coda.json
composio,Composio,,"recognized, withheld from Browse",NO PAGE - withheld from Browse; existing connections keep working,api-key,(unlabelled),tool,rest_api,api_key,customer,yes,none beyond a provider account,,S3,,n/a,permissions of the issued token,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/composio.json
context7,Context7,,"recognized, withheld from Browse",NO PAGE - withheld from Browse; existing connections keep working,mcp,(unlabelled),tool,mcp_remote,none,customer,yes,none beyond a provider account,,S1,,n/a,none - public endpoint,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/context7.json
discord,Discord,docs/connectors/discord.md,app store visible,KEEP - revised this iteration,chat-agent,Chat with an agent,channel,chat_sdk,api_key,customer,yes,"instance experimental setting Chat connectors (enableChatConnectors, default off)",,S3,channel,NO - declarative metadata only; no server/ui reader exists,permissions of the issued token,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/discord.json
egnyte,Egnyte,,"recognized, withheld from Browse",NO PAGE - withheld from Browse; existing connections keep working,mcp-oauth,Sign in with Egnyte,tool,mcp_remote,oauth,dcr,yes,none beyond a provider account,,S3,,n/a,provider OAuth consent screen,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/egnyte.json
embat,Embat,,"recognized, withheld from Browse",NO PAGE - withheld from Browse; existing connections keep working,mcp-oauth,Sign in with Embat,tool,mcp_remote,oauth,dcr,yes,none beyond a provider account,,S4,,n/a,provider OAuth consent screen,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/embat.json
github,GitHub,docs/connectors/github.md,app store visible,KEEP - revised this iteration,managed,Use this connection as an agent tool,tool,mcp_remote,oauth,platform_shared,no - gated,Paperclip Cloud enrollment; connector profile github.code must be enabled on the instance,,S3,organization+repository,NO - declarative metadata only; no server/ui reader exists,GitHub App installation repository selection,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/github.json
github,GitHub,docs/connectors/github.md,app store visible,KEEP - revised this iteration,mcp-key,Personal access token (advanced),tool,mcp_remote,api_key,customer,yes,none beyond a provider account,,S3,organization+repository,NO - declarative metadata only; no server/ui reader exists,permissions of the issued token,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/github.json
github,GitHub,docs/connectors/github.md,app store visible,KEEP - revised this iteration,chat-agent,Chat with an agent,channel,chat_sdk,api_key,customer,yes,"instance experimental setting Chat connectors (enableChatConnectors, default off)",,S3,organization+repository,NO - declarative metadata only; no server/ui reader exists,permissions of the issued token,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/github.json
gmail,Gmail,docs/connectors/gmail.md,app store visible,KEEP - revised this iteration,paperclip-read,Connect with Paperclip,tool,mcp_remote,oauth,platform_shared,no - gated,Paperclip Cloud enrollment; connector profile gmail.read must be enabled on the instance,Read only (read),S3,,n/a,Google OAuth consent + Workspace admin policy,Google Developer Preview access required,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/gmail.json
gmail,Gmail,docs/connectors/gmail.md,app store visible,KEEP - revised this iteration,customer-read-oauth,Use your own Google OAuth app,tool,mcp_remote,oauth,customer,yes,none beyond a provider account,Read only (read),S3,,n/a,Google OAuth consent + Workspace admin policy,Google Developer Preview access required,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/gmail.json
gmail,Gmail,docs/connectors/gmail.md,app store visible,KEEP - revised this iteration,paperclip-draft,Connect with Paperclip,tool,mcp_remote,oauth,platform_shared,no - gated,Paperclip Cloud enrollment; connector profile gmail.draft must be enabled on the instance,Read & create drafts (draft),S4,,n/a,Google OAuth consent + Workspace admin policy,Google Developer Preview access required,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/gmail.json
gmail,Gmail,docs/connectors/gmail.md,app store visible,KEEP - revised this iteration,customer-draft-oauth,Use your own Google OAuth app,tool,mcp_remote,oauth,customer,yes,none beyond a provider account,Read & create drafts (draft),S4,,n/a,Google OAuth consent + Workspace admin policy,Google Developer Preview access required,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/gmail.json
google-calendar,Google Calendar,docs/connectors/google-calendar.md,app store visible,KEEP - revised this iteration,paperclip-read,Connect with Paperclip,tool,mcp_remote,oauth,platform_shared,no - gated,Paperclip Cloud enrollment; connector profile calendar.read must be enabled on the instance,Read only (read),S3,,n/a,Google OAuth consent + Workspace admin policy,Google Developer Preview access required,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/google-calendar.json
google-calendar,Google Calendar,docs/connectors/google-calendar.md,app store visible,KEEP - revised this iteration,customer-read-oauth,Use your own Google OAuth app,tool,mcp_remote,oauth,customer,yes,none beyond a provider account,Read only (read),S3,,n/a,Google OAuth consent + Workspace admin policy,Google Developer Preview access required,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/google-calendar.json
google-calendar,Google Calendar,docs/connectors/google-calendar.md,app store visible,KEEP - revised this iteration,paperclip-write,Connect with Paperclip,tool,mcp_remote,oauth,platform_shared,no - gated,Paperclip Cloud enrollment; connector profile calendar.write must be enabled on the instance,Read & manage (write),S4,,n/a,Google OAuth consent + Workspace admin policy,Google Developer Preview access required,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/google-calendar.json
google-calendar,Google Calendar,docs/connectors/google-calendar.md,app store visible,KEEP - revised this iteration,customer-write-oauth,Use your own Google OAuth app,tool,mcp_remote,oauth,customer,yes,none beyond a provider account,Read & manage (write),S4,,n/a,Google OAuth consent + Workspace admin policy,Google Developer Preview access required,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/google-calendar.json
google-chat,Google Chat,docs/connectors/google-chat.md,app store visible,KEEP - revised this iteration,paperclip-read,Connect with Paperclip,tool,mcp_remote,oauth,platform_shared,no - gated,Paperclip Cloud enrollment; connector profile chat.read must be enabled on the instance,Read only (read),S3,,n/a,Google OAuth consent + Workspace admin policy,Google Developer Preview access required,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/google-chat.json
google-chat,Google Chat,docs/connectors/google-chat.md,app store visible,KEEP - revised this iteration,customer-read-oauth,Use your own Google OAuth app,tool,mcp_remote,oauth,customer,yes,none beyond a provider account,Read only (read),S3,,n/a,Google OAuth consent + Workspace admin policy,Google Developer Preview access required,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/google-chat.json
google-chat,Google Chat,docs/connectors/google-chat.md,app store visible,KEEP - revised this iteration,paperclip-write,Connect with Paperclip,tool,mcp_remote,oauth,platform_shared,no - gated,Paperclip Cloud enrollment; connector profile chat.write must be enabled on the instance,Read & send (write),S4,,n/a,Google OAuth consent + Workspace admin policy,Google Developer Preview access required,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/google-chat.json
google-chat,Google Chat,docs/connectors/google-chat.md,app store visible,KEEP - revised this iteration,customer-write-oauth,Use your own Google OAuth app,tool,mcp_remote,oauth,customer,yes,none beyond a provider account,Read & send (write),S4,,n/a,Google OAuth consent + Workspace admin policy,Google Developer Preview access required,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/google-chat.json
google-docs,Google Docs,docs/connectors/google-docs.md,app store visible,KEEP - revised this iteration,paperclip-read,Connect with Paperclip,tool,mcp_remote,oauth,platform_shared,no - gated,Paperclip Cloud enrollment; connector profile docs.read must be enabled on the instance,Read only (read),S3,,n/a,Google OAuth consent + Workspace admin policy,Google Developer Preview access required,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/google-docs.json
google-docs,Google Docs,docs/connectors/google-docs.md,app store visible,KEEP - revised this iteration,customer-read-oauth,Use your own Google OAuth app,tool,mcp_remote,oauth,customer,yes,none beyond a provider account,Read only (read),S3,,n/a,Google OAuth consent + Workspace admin policy,Google Developer Preview access required,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/google-docs.json
google-docs,Google Docs,docs/connectors/google-docs.md,app store visible,KEEP - revised this iteration,paperclip-write,Connect with Paperclip,tool,mcp_remote,oauth,platform_shared,no - gated,Paperclip Cloud enrollment; connector profile docs.write must be enabled on the instance,Read & edit (write),S4,,n/a,Google OAuth consent + Workspace admin policy,Google Developer Preview access required,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/google-docs.json
google-docs,Google Docs,docs/connectors/google-docs.md,app store visible,KEEP - revised this iteration,customer-write-oauth,Use your own Google OAuth app,tool,mcp_remote,oauth,customer,yes,none beyond a provider account,Read & edit (write),S4,,n/a,Google OAuth consent + Workspace admin policy,Google Developer Preview access required,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/google-docs.json
google-drive,Google Drive,docs/connectors/google-drive.md,app store visible,KEEP - revised this iteration,paperclip-read,Connect with Paperclip,tool,mcp_remote,oauth,platform_shared,no - gated,Paperclip Cloud enrollment; connector profile drive.read must be enabled on the instance,Read only (read),S3,,n/a,Google OAuth consent + Workspace admin policy,Google Developer Preview access required,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/google-drive.json
google-drive,Google Drive,docs/connectors/google-drive.md,app store visible,KEEP - revised this iteration,customer-read-oauth,Use your own Google OAuth app,tool,mcp_remote,oauth,customer,yes,none beyond a provider account,Read only (read),S3,,n/a,Google OAuth consent + Workspace admin policy,Google Developer Preview access required,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/google-drive.json
google-drive,Google Drive,docs/connectors/google-drive.md,app store visible,KEEP - revised this iteration,paperclip-write,Connect with Paperclip,tool,mcp_remote,oauth,platform_shared,no - gated,Paperclip Cloud enrollment; connector profile drive.write must be enabled on the instance,Read & create (write),S4,,n/a,Google OAuth consent + Workspace admin policy,Google Developer Preview access required,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/google-drive.json
google-drive,Google Drive,docs/connectors/google-drive.md,app store visible,KEEP - revised this iteration,customer-write-oauth,Use your own Google OAuth app,tool,mcp_remote,oauth,customer,yes,none beyond a provider account,Read & create (write),S4,,n/a,Google OAuth consent + Workspace admin policy,Google Developer Preview access required,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/google-drive.json
google-people,Google People,docs/connectors/google-people.md,app store visible,KEEP - revised this iteration,paperclip-read,Connect with Paperclip,tool,mcp_remote,oauth,platform_shared,no - gated,Paperclip Cloud enrollment; connector profile people.read must be enabled on the instance,Read contacts (read),S3,,n/a,Google OAuth consent + Workspace admin policy,Google Developer Preview access required,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/google-people.json
google-people,Google People,docs/connectors/google-people.md,app store visible,KEEP - revised this iteration,customer-read-oauth,Use your own Google OAuth app,tool,mcp_remote,oauth,customer,yes,none beyond a provider account,Read contacts (read),S3,,n/a,Google OAuth consent + Workspace admin policy,Google Developer Preview access required,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/google-people.json
google-sheets,Google Sheets,docs/connectors/google-sheets.md,app store visible,KEEP - revised this iteration,paperclip-read,Connect with Paperclip,tool,mcp_remote,oauth,platform_shared,no - gated,Paperclip Cloud enrollment; connector profile sheets.read must be enabled on the instance,Read only (read),S3,,n/a,Google OAuth consent + Workspace admin policy,Google Developer Preview access required,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/google-sheets.json
google-sheets,Google Sheets,docs/connectors/google-sheets.md,app store visible,KEEP - revised this iteration,customer-read-oauth,Use your own Google OAuth app,tool,mcp_remote,oauth,customer,yes,none beyond a provider account,Read only (read),S3,,n/a,Google OAuth consent + Workspace admin policy,Google Developer Preview access required,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/google-sheets.json
google-sheets,Google Sheets,docs/connectors/google-sheets.md,app store visible,KEEP - revised this iteration,paperclip-write,Connect with Paperclip,tool,mcp_remote,oauth,platform_shared,no - gated,Paperclip Cloud enrollment; connector profile sheets.write must be enabled on the instance,Read & edit (write),S4,,n/a,Google OAuth consent + Workspace admin policy,Google Developer Preview access required,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/google-sheets.json
google-sheets,Google Sheets,docs/connectors/google-sheets.md,app store visible,KEEP - revised this iteration,customer-write-oauth,Use your own Google OAuth app,tool,mcp_remote,oauth,customer,yes,none beyond a provider account,Read & edit (write),S4,,n/a,Google OAuth consent + Workspace admin policy,Google Developer Preview access required,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/google-sheets.json
google-sheets,Google Sheets,docs/connectors/google-sheets.md,app store visible,KEEP - revised this iteration,local,Use the Paperclip robot account,tool,local_stdio,none,customer,yes,instance env GOOGLE_SHEETS_SERVICE_ACCOUNT_JSON(_PATH),Share selected sheets (robot),S3,spreadsheet,YES - config.allowedSpreadsheetIds + assertGoogleSheetsSpreadsheetOwnership,Google OAuth consent + Workspace admin policy,Google Developer Preview access required,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/google-sheets.json
google-slides,Google Slides,docs/connectors/google-slides.md,app store visible,KEEP - revised this iteration,paperclip-read,Connect with Paperclip,tool,mcp_remote,oauth,platform_shared,no - gated,Paperclip Cloud enrollment; connector profile slides.read must be enabled on the instance,Read only (read),S3,,n/a,Google OAuth consent + Workspace admin policy,Google Developer Preview access required,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/google-slides.json
google-slides,Google Slides,docs/connectors/google-slides.md,app store visible,KEEP - revised this iteration,customer-read-oauth,Use your own Google OAuth app,tool,mcp_remote,oauth,customer,yes,none beyond a provider account,Read only (read),S3,,n/a,Google OAuth consent + Workspace admin policy,Google Developer Preview access required,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/google-slides.json
google-slides,Google Slides,docs/connectors/google-slides.md,app store visible,KEEP - revised this iteration,paperclip-write,Connect with Paperclip,tool,mcp_remote,oauth,platform_shared,no - gated,Paperclip Cloud enrollment; connector profile slides.write must be enabled on the instance,Read & edit (write),S4,,n/a,Google OAuth consent + Workspace admin policy,Google Developer Preview access required,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/google-slides.json
google-slides,Google Slides,docs/connectors/google-slides.md,app store visible,KEEP - revised this iteration,customer-write-oauth,Use your own Google OAuth app,tool,mcp_remote,oauth,customer,yes,none beyond a provider account,Read & edit (write),S4,,n/a,Google OAuth consent + Workspace admin policy,Google Developer Preview access required,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/google-slides.json
google-workspace-search,Google Workspace Search,docs/connectors/google-workspace-search.md,app store visible,KEEP - revised this iteration,paperclip-read,Connect with Paperclip,tool,mcp_remote,oauth,platform_shared,no - gated,Paperclip Cloud enrollment; connector profile workspace-search.read must be enabled on the instance,Search Workspace (read),S3,,n/a,Google OAuth consent + Workspace admin policy,Google Developer Preview access required,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/google-workspace-search.json
google-workspace-search,Google Workspace Search,docs/connectors/google-workspace-search.md,app store visible,KEEP - revised this iteration,customer-read-oauth,Use your own Google OAuth app,tool,mcp_remote,oauth,customer,yes,none beyond a provider account,Search Workspace (read),S3,,n/a,Google OAuth consent + Workspace admin policy,Google Developer Preview access required,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/google-workspace-search.json
hugging-face,Hugging Face,docs/connectors/hugging-face.md,app store visible,KEEP - revised this iteration,mcp-oauth,Sign in with Hugging Face,tool,mcp_remote,oauth,dcr,yes,none beyond a provider account,,S2,,n/a,provider OAuth consent screen,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/hugging-face.json
imessage-photon,iMessage Photon,docs/connectors/imessage-photon.md,app store visible,KEEP - revised this iteration,chat-agent,Chat with an agent,channel,chat_sdk,api_key,customer,yes,"instance experimental setting Chat connectors (enableChatConnectors, default off)",,S3,direct_message+group_chat,NO - declarative metadata only; no server/ui reader exists,permissions of the issued token,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/imessage-photon.json
jira,Jira,docs/connectors/jira.md,app store visible,KEEP - revised this iteration,mcp-oauth,Sign in with Jira,tool,mcp_remote,oauth,dcr,yes,none beyond a provider account,,S3,,n/a,provider OAuth consent screen,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/jira.json
kernel,Kernel,,"recognized, withheld from Browse",NO PAGE - withheld from Browse; existing connections keep working,mcp-oauth,Sign in with Kernel,tool,mcp_remote,oauth,dcr,yes,none beyond a provider account,,S3,,n/a,provider OAuth consent screen,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/kernel.json
kernel,Kernel,,"recognized, withheld from Browse",NO PAGE - withheld from Browse; existing connections keep working,mcp-api-key,Use an API key,tool,mcp_remote,api_key,customer,yes,none beyond a provider account,,S3,,n/a,permissions of the issued token,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/kernel.json
linear,Linear,docs/connectors/linear.md,app store visible,KEEP - revised this iteration,mcp-oauth,(unlabelled),tool,mcp_remote,oauth,customer,yes,none beyond a provider account,,S2,workspace+team+project,NO - declarative metadata only; no server/ui reader exists,provider OAuth consent screen,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/linear.json
local-falcon,Local Falcon,,"recognized, withheld from Browse",NO PAGE - withheld from Browse; existing connections keep working,mcp-oauth,Sign in with Local Falcon,tool,mcp_remote,oauth,dcr,yes,none beyond a provider account,,S2,,n/a,provider OAuth consent screen,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/local-falcon.json
make,Make,,"recognized, withheld from Browse",NO PAGE - withheld from Browse; existing connections keep working,mcp-oauth,Sign in with Make,tool,mcp_remote,oauth,dcr,yes,none beyond a provider account,,S3,,n/a,provider OAuth consent screen,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/make.json
manufact,Manufact,,"recognized, withheld from Browse",NO PAGE - withheld from Browse; existing connections keep working,mcp-oauth,Sign in with Manufact,tool,mcp_remote,oauth,dcr,yes,none beyond a provider account,,S3,,n/a,provider OAuth consent screen,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/manufact.json
mem0,Mem0,docs/connectors/mem0.md,app store visible,KEEP - revised this iteration,mcp-api-key,Use an API key,tool,mcp_remote,api_key,customer,yes,none beyond a provider account,,S3,,n/a,permissions of the issued token,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/mem0.json
microsoft-teams,Microsoft Teams,docs/connectors/microsoft-teams.md,app store visible,KEEP - revised this iteration,chat-agent,Chat with an agent,channel,chat_sdk,api_key,customer,yes,"instance experimental setting Chat connectors (enableChatConnectors, default off)",,S3,team+channel+chat,NO - declarative metadata only; no server/ui reader exists,permissions of the issued token,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/microsoft-teams.json
miro,Miro,docs/connectors/miro.md,app store visible,KEEP - revised this iteration,mcp-oauth,Sign in with Miro,tool,mcp_remote,oauth,dcr,yes,none beyond a provider account,,S3,,n/a,provider OAuth consent screen,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/miro.json
